# 건축HUB 용도코드 세분류 정본 (서울 층별개요 3,030,919행 전수 관측 · 2026-07-11)
# 코드(5자리) | 명칭 | 서울 층 수 — 대분류=천단위(01000), 세분류=하위
||1337
01000|단독주택|34
01001|단독주택|449820
01002|다중주택|47891
01003|다가구주택|431766
01004|공관|250
02000|공동주택|39
02001|아파트|436493
02002|연립주택|40922
02003|다세대주택|519767
02004|생활편익시설|3255
02005|부대시설|42289
02006|복리시설|3052
02007|기숙사|1671
02101|일반기숙사|49
02102|임대형기숙사|127
03000|제1종근린생활시설|14
03001|소매점|135586
03002|휴게음식점|23858
03003|이(미)용원|3124
03004|일반목욕장|615
03005|의원|25310
03006|체육장|188
03007|마을공동시설|910
03008|변전소|490
03009|양수장|206
03010|정수장|180
03011|대피소|2223
03012|공중화장실|1285
03013|세탁소|529
03014|치과의원|1552
03015|한의원|3068
03016|침술원|171
03017|접골원|11
03018|조산소|152
03019|탁구장|1241
03020|체육도장|1271
03021|마을회관|209
03022|마을공동작업소|58
03023|마을공동구판장|12
03024|지역아동센터|350
03025|목욕장|991
03026|이용원|264
03027|미용원|3867
03028|조산원|117
03029|제과점|465
03030|수퍼마켓|38
03031|안마원|83
03032|산후조리원|185
03034|도시가스배관시설|1
03035|통신용 시설|70
03036|동물병원|21
03037|동물미용실|15
03038|동물위탁시설|14
03100|공공시설|5
03101|동사무소|2005
03102|경찰서|17
03103|파출소|688
03104|소방서|341
03105|우체국|370
03106|전신전화국|56
03107|방송국|58
03108|보건소|74
03109|공공도서관|248
03110|지역의료보험조합|2
03112|지역자치센터|177
03113|지구대|96
03115|건강보험공단사무소|3
03199|기타공공시설|11375
03201|금융업소|8
03202|사무소|2305
03203|부동산중개사무소|135
03204|결혼상담소|1
03205|출판사|5
03299|기타사무소|109
03300|전기자동차충전소|18
03999|기타제1종근린생활시설|92027
04000|제2종근린생활시설|45
04001|일반음식점|73692
04002|휴게음식점|4554
04003|기원|1142
04004|서점(1종근.생미해당)|209
04005|제조업소|9550
04006|수리점|2803
04007|게임제공업소|871
04008|사진관|2698
04009|표구점|367
04010|학원|26917
04011|장의사|6
04012|동물병원|403
04013|어린이집|69
04014|독서실|7429
04015|총포판매소|17
04016|단란주점|430
04017|의약품도매점|642
04018|자동차영업소|553
04019|안마시술소|184
04020|노래연습장|2314
04021|세탁소|169
04022|멀티미디어문화컨텐츠설비제공업소|314
04023|복합유통.제공업소|5
04024|직업훈련소|205
04025|인터넷컴퓨터게임시설제공업소|622
04026|청소년게임제공업소|97
04027|복합유통게임제공업소|31
04030|의약품판매소|562
04031|의료기기판매소|308
04032|총포판매사|4
04033|소개업소|37
04034|안마원|4
04035|고시원|12572
04036|제과점|75
04037|인터넷컴퓨터게임시설제공업의시설|547
04038|청소년게임제공업의시설|110
04039|복합유통게임제공업의시설|53
04040|교습소|2320
04041|동물미용실|98
04042|총포판매소|3
04043|다중생활시설|2236
04044|인터넷컴퓨터게임시설제공업소|659
04045|청소년게임제공업소|555
04046|복합유통게임제공업소|132
04047|기타게임시설|7
04048|가상현실체험제공업소|4
04049|동물위탁시설|21
04050|주문배송시설|9
04051|공유보관시설|26
